	Astrocyte	Endotelial	Microglia	Neuron	Oligodendrocyte
0	0.44006127	0.00037432899	0.007484174	0.3420563	0.21002395
1	0.25661862	0.00020733665	0.0088818185	0.35875905	0.37553313
2	0.26244408	0.0007973259	0.0053519057	0.19751164	0.533895
3	0.54836655	0.0012911032	0.0160108	0.22610267	0.20822889
4	0.4107726	0.0119176	0.0063249194	0.01922328	0.55176157
5	0.5099467	0.001644529	0.009511992	0.09587611	0.3830206
6	0.38380086	0.0005747399	0.010624084	0.27421898	0.3307813
7	0.3978717	0.000884442	0.011459385	0.13494828	0.45483628
8	0.38742942	8.949127e-05	0.0077663637	0.3654535	0.23926118
9	0.39431852	0.0010470337	0.0051214853	0.038749766	0.5607632
10	0.6357147	0.0005253482	0.008324321	0.08427733	0.2711583
11	0.24621926	0.00013196953	0.0065149814	0.41634908	0.33078474
12	0.33799997	0.000377783	0.0068709417	0.3174092	0.33734214
13	0.48115742	0.0013175767	0.014337056	0.1383841	0.36480382
14	0.40382808	0.0004600069	0.008650196	0.2566981	0.3303636
15	0.3458622	0.00038506143	0.008878764	0.19828184	0.44659218
16	0.38926756	0.00027244605	0.007233964	0.26093072	0.3422953
17	0.425526	0.0021823593	0.009199097	0.09347751	0.469615
18	0.3578968	0.0008677057	0.010805608	0.15214328	0.47828656
19	0.56752217	0.0018253385	0.009755208	0.11029365	0.31060365
20	0.47118545	0.0014430027	0.009208641	0.08976068	0.4284022
21	0.32992843	0.00023382565	0.007428331	0.27202106	0.39038828
22	0.52179277	0.00089003553	0.0124348095	0.23981552	0.22506687
23	0.39116472	0.00088482845	0.011330227	0.23875245	0.35786778
24	0.35762772	0.000102869	0.0067122886	0.35444266	0.2811145
25	0.54441494	0.001084137	0.008061937	0.11126774	0.33517128
26	0.36317492	0.00019920593	0.005379022	0.18858953	0.4426573
27	0.39878806	0.0022207713	0.0156045165	0.09406758	0.48931906
28	0.29758802	0.00010587791	0.006846862	0.39626223	0.29919702
29	0.5481386	0.024318505	0.0070805987	0.020546284	0.399916
30	0.4287192	0.0017394857	0.009241357	0.14424299	0.41605696
31	0.32357952	0.0001861254	0.005192126	0.36215025	0.30889204
32	0.35405797	0.0071503306	0.024111815	0.12677157	0.4879084
33	0.63522965	0.008181252	0.010722644	0.07248855	0.2733779
34	0.34279448	0.00018803406	0.007914748	0.47330064	0.17580207
35	0.42380127	0.0007493653	0.0091457395	0.1547029	0.41160077
36	0.65617007	0.011373642	0.035350554	0.023589378	0.2735164
37	0.2815501	8.5172134e-05	0.005977808	0.47544342	0.23694345
38	0.39705917	0.00048792298	0.0122668855	0.21146479	0.37872118
39	0.26737285	0.0036017487	0.011990219	0.105378985	0.6116562
40	0.2806036	0.0005006224	0.017345212	0.25911775	0.44243273
41	0.25841215	0.0001522991	0.010982324	0.44994852	0.28050473
42	0.23845729	0.0005706489	0.0075543015	0.1748724	0.5785454
43	0.65474963	0.0031602946	0.012654591	0.047262456	0.282173
44	0.28877968	0.00031335079	0.009386983	0.34580457	0.3557154
45	0.5684647	0.0025565082	0.009376296	0.036089968	0.38351256
46	0.33409983	0.012833289	0.0048801154	0.033159096	0.6150276
47	0.46663105	0.00064266304	0.009157053	0.1947344	0.3288348
48	0.4296801	0.0007315691	0.013722254	0.18196025	0.3739059
