compress1,compress2,patience,earlystop,isRelu,ccc_score
2,4,"[50, 50, 100]",True,True,0.9935661564901247
2,4,"[10, 10, 50]",True,True,0.993034308993119
2,4,"[0, 0, 0]",False,True,0.9909785279774741
4,8,"[50, 50, 100]",True,True,0.9935593862207862
4,8,"[10, 10, 50]",True,True,0.9932537197578353
4,8,"[0, 0, 0]",False,True,0.9925089960243912
6,12,"[50, 50, 100]",True,True,0.9933687984766201
6,12,"[10, 10, 50]",True,True,0.9922145308951194
6,12,"[0, 0, 0]",False,True,0.9932018359227937
2,4,"[50, 50, 100]",True,False,0.9935895915231214
2,4,"[10, 10, 50]",True,False,0.9933159980038495
